loc_id,loc_name,loc_abbr,gini_index,median_income,median_age,pct_depressed,pct_bingedrink,pct_heavydrink,pct_smokers
1,Alabama,AL,0.4758,42830,38.6,21.3,12,4.5,21.1
2,Alaska,AK,0.4175,71583,33.3,15.6,20.2,8.8,19.9
4,Arizona,AZ,0.4676,50068,36.9,18.7,14.9,5.8,16.5
5,Arkansas,AR,0.4714,41262,37.8,21.5,13.3,5.1,24.7
6,California,CA,0.489,61933,36,13.3,15.6,5.7,12.9
8,Colorado,CO,0.4584,61303,36.3,17,17.5,6.5,15.7
9,Connecticut,CT,0.5005,70048,40.5,18.3,15.9,5.7,15.4
10,Delaware,DE,0.4494,59716,39.6,18.3,15.7,5.2,19.9
11,District of Columbia,DC,0.5224,71648,33.8,18.1,24.9,9,16.4
12,Florida,FL,0.4834,47463,41.6,16.2,15,6.7,17.7
13,Georgia,GA,0.4801,49321,36.1,18.3,14.2,5.3,17.4
15,Hawaii,HI,0.4325,69592,38.1,10.7,19.7,7.9,14.1
16,Idaho,ID,0.4541,47861,35.9,19.5,14.8,5,15.9
17,Illinois,IL,0.4765,57444,37.5,16.7,20.2,6.5,16.5
18,Indiana,IN,0.4455,49446,37.4,20.7,14.8,5.2,22.9
19,Iowa,IA,0.4433,53712,38.2,18.7,21.4,6.3,18.5
20,Kansas,KS,0.4597,52504,36.2,18.6,15.8,5.1,18.1
21,Kentucky,KY,0.4704,42958,38.5,23.9,12.7,5.5,26.2
22,Louisiana,LA,0.4902,44555,36.1,18.7,16,6.5,24
23,Maine,ME,0.4593,49462,44.1,23.7,17,7.1,19.3
24,Maryland,MD,0.4491,73971,38.3,15.9,15.4,5.3,14.6
25,Massachusetts,MA,0.4863,69160,39.4,21.7,17.4,7,14.7
26,Michigan,MI,0.4598,49847,39.6,20.5,18.9,6.8,21.2
27,Minnesota,MN,0.4539,61481,37.8,18.2,19.5,6.4,16.3
28,Mississippi,MS,0.476,39680,36.7,19.9,12.8,4.3,23
29,Missouri,MO,0.4628,48363,38.5,21.7,15.1,5.2,20.6
30,Montana,MT,0.4544,46328,39.6,20.4,18.9,7.5,19.9
31,Nebraska,NE,0.4352,52686,36.2,17.7,20.3,6.4,17.3
32,Nevada,NV,0.4427,51450,37.4,15.6,16,6.9,17
33,New Hampshire,NH,0.441,66532,42.5,21,16.8,7.1,17.5
34,New Jersey,NJ,0.4757,71919,39.4,13.4,15.8,4.8,15.1
35,New Mexico,NM,0.477,44803,37.2,21.1,13.7,5.7,19.2
36,New York,NY,0.5111,58878,38.2,15.9,15,4.9,14.4
37,North Carolina,NC,0.4748,46556,38.3,19,13.6,5.1,19.1
38,North Dakota,ND,0.4664,59029,35.1,17.3,24,6.7,19.9
39,Ohio,OH,0.4637,49308,39.4,20.9,18.1,6.4,21
40,Oklahoma,OK,0.466,47529,36.2,21.8,12.9,3.9,21.1
41,Oregon,OR,0.4624,51075,39.3,24,16.6,7.7,17
42,Pennsylvania,PA,0.4686,53234,40.7,19.7,16.7,6,19.9
44,Rhode Island,RI,0.4827,54891,39.8,20.6,18.4,6.2,16.3
45,South Carolina,SC,0.4687,45238,38.8,19.9,14.1,5.9,21.5
46,South Dakota,SD,0.4468,50979,36.6,16.6,17.4,5,18.6
47,Tennessee,TN,0.4811,44361,38.6,21.4,10.6,4.1,24.2
48,Texas,TX,0.4827,53035,34.3,14.6,16.3,5.8,14.5
49,Utah,UT,0.4283,60922,30.5,20.7,11.4,3.3,9.7
50,Vermont,VT,0.4406,54166,42.8,21.8,17.9,9.1,16.4
51,Virginia,VA,0.4658,64902,37.7,17.4,15.2,5.3,19.5
53,Washington,WA,0.4542,61366,37.5,21.6,17.1,6.8,15.3
54,West Virginia,WV,0.4546,41059,41.9,23.6,9.6,3.6,26.7
55,Wisconsin,WI,0.4397,52622,39.2,17,22.1,7.2,17.4
56,Wyoming,WY,0.427,57055,36.6,19,17.2,6.2,19.5
72,Puerto Rico,PR,0.5472,18928,39.3,18.5,13.2,3.8,11.3
